0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1.12E-09
0	0	1.22E-09
0	0	1.37E-09
0	0	1.48E-09
0	0	1.63E-09
0	0	1.75E-09
0	0	1.90E-09
0	0	2.04E-09
0	0	3.01E-09
0	0	3.84E-09
0	0	4.80E-09
0	0	4.83E-09
0	0	2.19E-09
0	0	2.41E-09
0	0	2.45E-09
0	0	2.54E-09
0	0	2.74E-09
0	0	2.90E-09
0	0	0
0	0	0
0	0	1.28E-09
0	0	1.74E-09
0	0	2.82E-09
0	0	5.10E-09
2.53E-09	0	7.10E-09
0	0	8.15E-09
0	0	8.62E-09
0	0	1.01E-08
0	0	1.15E-08
0	0	1.32E-08
0	0	1.42E-08
0	0	1.56E-08
0	0	1.70E-08
0	0	1.84E-08
0	0	2.02E-08
0	0	3.05E-08
0	0	4.08E-08
0	0	5.40E-08
0	0	5.43E-08
0	0	2.00E-08
0	0	2.27E-08
0	0	2.40E-08
0	0	2.53E-08
0	0	2.77E-08
0	0	3.05E-08
0	0	0
0	0	0
0	0	2.55E-08
0	0	7.30E-08
0	0	9.20E-08
0	0	1.23E-07
0	0	1.65E-07
0	0	1.95E-07
0	0	2.05E-07
0	0	2.35E-07
0	0	2.59E-07
0	0	2.83E-07
0	0	2.88E-07
0	0	3.39E-07
0	0	3.45E-07
0	0	3.79E-07
2.35E-08	0	3.99E-07
0	0	6.01E-07
0	0	1.13E-06
0	0	1.60E-06
0	0	1.61E-06
0	0	3.99E-07
0	0	4.53E-07
0	2.68E-09	5.20E-07
0	0	5.53E-07
0	1.57E-09	6.36E-07
0	2.39E-09	6.82E-07
0	0	0
0	0	1.88E-08
0	0	1.27E-06
0	2.70E-08	4.33E-06
0	2.63E-08	5.02E-06
0	0	5.92E-06
0	0	7.08E-06
0	0	8.83E-06
0	0	1.01E-05
0	0	1.08E-05
0	0	1.18E-05
0	0	1.31E-05
0	0	1.43E-05
0	0	1.45E-05
0	0	1.59E-05
0	0	1.81E-05
0	0	1.87E-05
0	0	2.67E-05
0	0	4.24E-05
0	0	5.42E-05
0	0	5.45E-05
0	2.87E-07	6.92E-06
0	0	9.29E-06
1.13E-08	1.66E-07	8.81E-06
0	1.45E-07	9.48E-06
1.44E-07	2.07E-06	1.06E-05
1.68E-07	2.91E-06	1.06E-05
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1.01E-05
0	0	9.31E-07
0	0	1.80E-05
1.17E-04	3.15E-09	5.15E-05
0	8.34E-07	9.92E-05
0	0	2.13E-04
0	0	2.11E-04
0	0	2.18E-04
3.52E-05	0	2.37E-04
0	0	2.41E-04
0	0	2.63E-04
0	0	3.26E-04
0	0	4.33E-04
0	0	6.02E-04
0	0	6.03E-04
0	3.62E-05	1.90E-05
3.31E-06	9.56E-06	2.86E-05
0	1.84E-05	2.79E-05
8.73E-07	9.97E-06	2.49E-05
1.40E-06	1.29E-05	2.69E-05
1.72E-06	1.87E-05	2.82E-05
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
9.30E-06	1.68E-06	0
0	0	1.67E-05
0	0	1.90E-05
0	0	3.24E-05
0	0	2.93E-05
0	7.87E-05	2.17E-04
8.01E-05	4.56E-06	2.58E-04
5.66E-05	0	3.93E-04
2.49E-05	0	6.10E-04
2.65E-05	0	6.39E-04
0	0	7.34E-04
0	0	9.52E-04
0	0	1.22E-03
	0	0	1.23E-03
7.35E-08	7.79E-05	2.05E-05
2.06E-07	5.35E-05	2.46E-05
0	3.65E-05	1.96E-05
4.08E-06	3.31E-05	2.68E-05
2.23E-06	2.86E-05	2.83E-05
3.43E-06	2.15E-05	2.76E-05
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	3.83E-06
0	0	3.96E-05
0	0	8.29E-05
0	0	5.39E-05
0	0	4.55E-05
0	6.21E-04	3.80E-05
1.95E-03	1.58E-08	1.52E-04
1.83E-04	5.11E-04	3.35E-04
0	2.69E-05	5.99E-04
0	2.25E-09	1.85E-03
0	3.63E-09	2.13E-03
0	5.52E-09	2.55E-03
0	5.48E-09	2.55E-03
0	0	2.46E-05
0	0	7.03E-06
0	1.35E-04	0
1.24E-05	2.30E-05	1.47E-05
7.08E-06	1.68E-05	1.57E-05
5.35E-06	3.80E-05	1.58E-05
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	4.69E-05
0	3.41E-04	1.26E-05
0	0	1.39E-04
3.97E-03	4.55E-08	5.92E-05
1.85E-03	2.42E-03	2.51E-04
0	2.54E-08	2.98E-03
0	1.91E-08	3.48E-03
0	2.99E-08	4.13E-03
0	2.97E-08	4.12E-03
0	0	7.95E-06
0	0	0
0	0	8.87E-06
0	0	1.75E-05
2.06E-05	3.14E-05	3.24E-06
1.15E-05	9.80E-05	0
