0	0
4.12E-06	0
3.59E-04	0
5.98E-04	0
8.88E-04	0
1.30E-03	0
1.99E-03	0
2.52E-03	0
3.16E-03	0
3.83E-03	0
4.21E-03	0
4.54E-03	0
4.80E-03	0
5.10E-03	0
5.42E-03	0
5.69E-03	0
5.79E-03	0
7.00E-03	0
9.75E-03	0
1.28E-02	0
1.29E-02	0
5.79E-04	0
5.81E-04	0
5.90E-04	0
5.97E-04	0
6.16E-04	0
6.27E-04	0
0	0
3.10E-06	0
3.62E-04	0
4.66E-04	0
7.46E-04	0
1.22E-03	0
1.74E-03	0
2.20E-03	0
2.63E-03	0
3.19E-03	0
3.67E-03	0
4.05E-03	0
4.16E-03	0
4.61E-03	0
4.67E-03	0
4.95E-03	0
5.10E-03	0
6.15E-03	0
8.87E-03	0
1.19E-02	0
1.20E-02	0
5.12E-04	1.93E-09
5.10E-04	2.73E-09
5.19E-04	2.66E-09
5.34E-04	2.28E-09
5.44E-04	2.54E-09
5.49E-04	3.03E-09
0	0
1.49E-06	0
2.26E-04	0
5.48E-04	0
7.37E-04	0
1.16E-03	0
1.70E-03	0
2.44E-03	0
3.18E-03	0
4.09E-03	0
5.15E-03	0
5.59E-03	0
6.27E-03	0
6.85E-03	0
7.53E-03	0
7.91E-03	0
8.65E-03	0
1.43E-02	1.10E-09
8.01E-03	1.80E-09
1.06E-02	2.08E-09
1.07E-02	2.09E-09
4.10E-04	1.69E-08
4.02E-04	2.42E-08
4.08E-04	3.04E-08
4.10E-04	2.78E-08
4.22E-04	3.86E-08
4.25E-04	3.69E-08
0	0
2.87E-07	2.98E-08
1.43E-04	8.79E-07
1.77E-04	1.65E-06
4.14E-04	6.04E-08
6.37E-04	6.76E-08
8.46E-04	4.95E-08
1.43E-03	3.26E-08
2.03E-03	1.85E-08
2.68E-03	1.65E-08
3.52E-03	1.07E-08
4.41E-03	1.06E-08
5.32E-03	9.33E-09
5.94E-03	9.41E-09
6.76E-03	9.47E-09
7.42E-03	9.56E-09
8.35E-03	9.54E-09
1.43E-02	9.26E-09
6.41E-03	2.50E-08
8.07E-03	2.81E-08
8.13E-03	2.81E-08
2.10E-04	5.10E-07
2.28E-04	2.65E-06
2.33E-04	8.66E-07
2.36E-04	1.20E-06
2.43E-04	1.98E-06
2.44E-04	1.35E-06
0	0
0	0
0	0
0	0
0	0
0	0
8.35E-05	4.48E-07
1.15E-05	1.36E-06
2.35E-04	1.98E-07
4.33E-04	5.52E-05
9.46E-04	1.39E-05
1.85E-03	8.45E-05
2.69E-03	9.15E-06
3.65E-03	3.75E-06
4.66E-03	2.68E-06
5.68E-03	3.49E-06
6.51E-03	6.13E-06
1.34E-02	2.45E-07
8.75E-03	8.49E-07
6.39E-03	6.45E-06
6.47E-03	6.27E-06
9.43E-05	1.20E-06
8.27E-05	1.74E-05
8.24E-05	1.31E-05
7.78E-05	1.87E-05
8.09E-05	1.72E-05
7.78E-05	1.24E-05
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1.20E-04	2.48E-07
5.70E-05	3.04E-05
2.81E-04	3.03E-07
4.08E-04	1.36E-04
8.66E-04	2.60E-04
1.39E-03	1.31E-04
2.47E-03	9.56E-05
4.68E-03	1.48E-04
5.49E-03	3.43E-05
1.21E-02	2.15E-06
1.09E-02	5.24E-06
9.80E-03	1.69E-05
9.85E-03	1.70E-05
4.29E-05	1.32E-06
2.44E-05	6.63E-06
4.10E-05	3.94E-06
3.83E-05	1.41E-05
3.60E-05	1.68E-05
3.46E-05	2.93E-05
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5.61E-05	1.34E-08
1.53E-04	6.88E-06
1.54E-04	1.37E-04
3.39E-04	7.89E-07
4.68E-04	2.16E-07
6.14E-04	1.15E-07
7.63E-04	8.78E-04
1.02E-03	1.03E-03
2.13E-03	9.26E-04
1.09E-02	1.03E-04
1.45E-02	5.79E-05
1.71E-02	5.82E-05
1.71E-02	5.89E-05
7.38E-05	4.48E-06
6.07E-05	3.30E-07
0	0
1.24E-05	7.68E-06
1.33E-05	4.91E-05
7.80E-06	2.61E-05
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4.71E-04	4.09E-07
3.71E-04	2.40E-08
6.32E-04	5.15E-04
8.62E-04	1.40E-03
7.54E-04	3.12E-05
9.31E-03	2.31E-03
1.49E-02	4.70E-04
1.82E-02	3.55E-04
1.79E-02	3.62E-04
1.62E-04	3.31E-07
0	0
3.76E-05	1.63E-05
5.78E-06	7.90E-05
1.35E-05	9.05E-06
0	0
